eng,tjk
Khatlon,Хатлон
Dushanbe,Душанбе
Sogd,Суғд
Subordination of the center,Ноҳияҳои тобеи марказ
GBAO,ВАБК
Women,Зан
Man,Мард
City,Шаҳр
Village,Деҳа
Absolutely like,Пурра маъқул аст
It's a little weird,Каме маъқул аст
Neutral,Бетараф
A little disliked,Каме маъқул нест
Not at all,Тамоман маъқул нест
Electronics,Электроника
Chemistry,Химия
Photography,Суратгирӣ
Botany,Ботаника
Owning a store,Соҳибӣ мағоза будан
Advice on work,Маслиҳат дар бораи кор
Company management,Роҳбарӣ кардани ширкат
Helping families in need,Ба оилаҳои эҳтиёҷман кумак расонидан
Doktor,Тиб
Physical training,Тарбияи ҷисмони
Music,Мусиқӣ
Working with wood,Кор бо чуб
Economic sciences,Илмҳои хоҷагидорӣ/иқтисодиёт
Physics,Физика
Education,Маориф/таълим
Art,Санъат
Law,Ҳуқуқшиносӣ
Artist / Folk Crafts,Санъаткор/ҳунарҳои мардумӣ
Child care,Нигоҳубинӣ кудак
Stand electronics,Устои электроника
Landscaping,Заминченкунӣ
"Playing in a group, being a member of a music team","Дар гурӯҳ бозӣ кардан, яъзои дастаи мусиқӣ будан"
Travel agent,Агенти сайёҳӣ
Mechanic,Механик
Work in the office,Кор дар офис
Picture description,Тасвири расмҳо
The nurse of mercy,Ҳамшираи шафқат
Forest,Ҷангалбон
Economist,Иқтисодчӣ
Electric,Электрикӣ
Accounting,Муҳосибот
Geology,Геология
Builder,Бинокор
Helping patients in the hospital,Ба беморон дар беморхона ёри расонидан
Confirmation of a home loan (mortgage),Тасдиқӣ қарзи хона (ипотека)
"We had enough money for food and clothes, but to buy a refrigerator","Мо барои хӯроку либос пули кофӣ доштем, аммо барои харидани яхдон пул намерасид"
"Without borrowing money, he could easily buy household appliances",Бе қарзи пулӣ асбобҳои маишии рӯзгорро ба осонӣ харида метавонистем
"We could have bought a car without any problems, but a house","Мошини сабукравро ҳам харида метавонистем бе мушкилӣ, аммо хона харида метавонистем"
"We didn't have any financial problems, we even bought a new house, aha","Мо ягон мушкилии молиявӣ надоштем, ҳатто хонаи нав мехаридем"
"We had money for food, but buying clothes was a big problem for us","Барои ғизо пул доштем, аммо харидани либос барои мо мушкилии ҷиддӣ буд"
"Money did not always reach the family, even for food","На ҳамеша пул мерасид дар оила, ҳатто барои ғизо пул намерасид"
Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Корманди расмӣ\ сабт гардида (НА БИЗНЕСИ ОИЛАИ ХУД)
Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Корманди ғайрирасмӣ/сабт нагардида (НА БИЗНЕСИ ОИЛАИ ХУД)
Dead,Фавтида
I don't know / Rejection,Намедонам / Раддия
Unemployed (ready to work and looking for work),Бекор (омода барои иҷрои кор ва дар ҷустуҷӯи кор)
Entrepreneur / employee with self-account / private entrepreneur / employer (yes),Соҳибкор/ корманд бо суратҳисоби худӣ/соҳибкори хусусӣ/кордеҳ
"Work as an employee or assistant on a farm (farm, h",Кор кардан ҳамчун корманд ё ёрдамчӣ дар хоҷагии деҳқонии
Working as an employee or assistant in a NON-agricultural business / m,Кор кардан ҳамчун корманд ё ёрдамчӣ дар бизнеси ҒАЙРИ-кишоварзӣ
Retired,Нафакахур
Doing housework (including caring for children),Ба корҳои хона машғул (аз ҷумла барои парастории кӯдакон)
Does not work due to limited physical ability or illness,Аз сабаби имконияти маҳдуди ҷисмонӣ доштан ё беморӣ кор намекунад
"Higher Education (University, Conservatory, Academy) or Postgraduate, d","Таҳсилоти олӣ (Донишгоҳ, Консерватория, Академия) ё Аспирантура..."
Primary vocational education (VET) or secondary vocational education (technical school),Таҳсилоти ибтидоии касбӣ (ПТУ) ё миёнаи касбӣ (Техникум)
Complete general secondary education (Grades 10-11),Таҳсилоти умумии миёнаи пурра (Синфҳои 10-11)
Without formal education,Бе таҳсилоти расмӣ
Incomplete general secondary education (Grades 5-9),Таҳсилоти умумии миёнаи нопурра (Синфҳои 5-9)
General Primary Education (Grades 1-4),Таҳсилоти умумии ибтидоӣ (Синфҳои 1-4)
Full secondary education (grades 10-11),Таҳсилоти умумии миёнаи пурра (Синфҳои 10-11)
"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc","Таҳсилоти олӣ (Донишгоҳ, Консерватория, Академия) ё Аспирантура..."
Primary vocational education (vocational school) or secondary vocational (Technical school),Таҳсилоти ибтидоии касбӣ (ПТУ) ё миёнаи касбӣ (Техникум)
don't know / Denial,Намедонам / Раддия
Incomplete general secondary education (grades 5-9),Таҳсилоти умумии миёнаи нопурра (Синфҳои 5-9)
General primary education (grades 1-4),Таҳсилоти умумии ибтидоӣ (Синфҳои 1-4)
